Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789976725,50,,Aggregated,41.900000,0.000000,17,24,34,48,1800,3700,5400,7100,8400,8400,8400,779,0,17,478.4039323981367,3.8168749888427556,8366.166791005526,5894.970474967908
1789976726,50,,Aggregated,41.500000,0.000000,17,23,33,45,1600,3600,5400,6600,8400,8400,8400,808,0,17,463.24855853847544,3.8168749888427556,8366.166791005526,6002.662128712871
1789976727,50,,Aggregated,40.900000,0.000000,16,22,31,42,1400,3600,5400,6600,8400,8400,8400,859,0,16,437.87012957142207,3.8168749888427556,8366.166791005526,6063.619324796275
1789976728,50,,Aggregated,40.800000,0.000000,16,22,30,40,1300,3400,5400,6600,8400,8400,8400,892,0,16,423.6842446902823,3.8168749888427556,8366.166791005526,6020.918161434977
1789976729,50,,Aggregated,40.600000,0.000000,16,22,30,39,1200,3300,5300,6300,8400,8400,8400,927,0,16,408.4042054244986,3.8168749888427556,8366.166791005526,5967.1995685005395
1789976730,50,,Aggregated,41.500000,0.000000,16,22,30,40,1200,3300,5300,6300,8400,8400,8400,960,0,16,396.6714034827116,3.8168749888427556,8366.166791005526,6089.81875
1789976731,50,,Aggregated,39.900000,0.000000,16,22,29,38,1200,3300,5300,6300,8400,8400,8400,1000,0,16,382.62288100848673,3.8168749888427556,8366.166791005526,6043.959
1789976732,50,,Aggregated,39.400000,0.000000,16,22,28,36,1200,2900,5300,6300,8200,8400,8400,1026,0,16,374.55173530558,3.8168749888427556,8366.166791005526,6003.612085769981
1789976733,50,,Aggregated,36.800000,0.000000,16,22,29,38,850,2900,5300,6300,8200,8400,8400,1068,0,16,361.0397244536877,3.8168749888427556,8366.166791005526,5961.58988764045
1789976734,50,,Aggregated,37.800000,0.000000,16,22,28,36,360,2900,5300,6200,8200,8400,8400,1114,0,16,348.0810144061559,3.8168749888427556,8366.166791005526,5956.400359066427
